id	tokens	ner_tags
0	['Watermelon', '(', 'Citrullus', 'lanatus', ')', 'is', 'a', 'flowering', 'plant', 'species', 'of', 'the', 'Cucurbitaceae', 'family', 'and', 'the', 'name', 'of', 'its', 'edible', 'fruit', '.']	[[1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
1	['A', 'scrambling', 'and', 'trailing', 'vine', '-', 'like', 'plant', ',', 'it', 'is', 'a', 'highly', 'cultivated', 'fruit', 'worldwide', ',', 'with', 'more', 'than', '1,000', 'varieties', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
2	['Watermelon', 'is', 'grown', 'in', 'favorable', 'climates', 'from', 'tropical', 'to', 'temperate', 'regions', 'worldwide', 'for', 'its', 'large', 'edible', 'fruit', ',', 'which', 'is', 'a', 'berry', 'with', 'a', 'hard', 'rind', 'and', 'no', 'internal', 'divisions', ',', 'and', 'is', 'botanically', 'called', 'a', 'pepo', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
3	['The', 'sweet', ',', 'juicy', 'flesh', 'is', 'usually', 'deep', 'red', 'to', 'pink', ',', 'with', 'many', 'black', 'seeds', ',', 'although', 'seedless', 'varieties', 'exist', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
4	['The', 'fruit', 'can', 'be', 'eaten', 'raw', 'or', 'pickled', ',', 'and', 'the', 'rind', 'is', 'edible', 'after', 'cooking', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
5	['It', 'may', 'also', 'be', 'consumed', 'as', 'a', 'juice', 'or', 'an', 'ingredient', 'in', 'mixed', 'beverages', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
6	['Kordofan', 'melons', 'from', 'Sudan', 'are', 'the', 'closest', 'relatives', 'and', 'may', 'be', 'progenitors', 'of', 'modern', ',', 'cultivated', 'watermelons', '.']	[[3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
7	['[', '2', ']', 'Wild', 'watermelon', 'seeds', 'were', 'found', 'in', 'Uan', 'Muhuggiag', ',', 'a', 'prehistoric', 'site', 'in', 'Libya', 'that', 'dates', 'to', 'approximately', '3500', '\xa0', 'BC', '.']	[[0], [0], [3], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
8	['[', '3', ']', 'In', '2022', ',', 'a', 'study', 'was', 'released', 'that', 'traced', '6,000', '-', 'year', '-', 'old', 'watermelon', 'seeds', 'found', 'in', 'the', 'Libyan', 'desert', 'to', 'the', 'Egusi', 'seeds', 'of', 'Nigeria', ',', 'West', 'Africa', '.']	[[0], [0], [0], [0], [1], [3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
9	['[', '4', ']', 'Watermelons', 'were', 'domesticated', 'in', 'north', '-', 'east', 'Africa', 'and', 'cultivated', 'in', 'Egypt', 'by', '2000', '\xa0', 'BC', ',', 'although', 'they', 'were', 'not', 'the', 'sweet', 'modern', 'variety', '.']	[[0], [3], [3], [0], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
